Country,Region,Subregion,City
somalia,bakool,xudur,hunyaley/lugay weene
pakistan,balochistan,kech,wakai
turkey,mus,haskoy,karakutuk
somalia,sool,lascaanod,karingorfood
burkina faso,sahel,soum,neyba
kenya,makueni,kibwezi west,makindu
syria,aleppo,jebel saman,sheikh ali
pakistan,sindh,hyderabad,moro
algeria,chlef,chettia,ech chetia
turkey,adiyaman,adiyaman,yenipinar
south africa,mpumalanga,gert sibande,amsterdam
iran,khuzestan,izeh,izeh
somalia,sanaag,ceel afweyn,huluul
india,karnataka,dharwad,dharwad
syria,deir-ez-zor,al mayadin,al mayadin - city bridge
sri lanka,western,kalutara,wadduwa
india,assam,sonitpur,helem
india,jammu and kashmir,doda,bhala
zimbabwe,mashonaland east,seke,seke
sierra leone,southern,moyamba,moyamba
nigeria,lagos,ikorodu,ibese
pakistan,fata,mohmand agency,yakka gund
india,andhra pradesh,east godavari,anantagiri
india,telangana,khammam,penuballi
sudan,north darfur,el fasher,wadi golo
senegal,ziguinchor,oussouye,djirak
sierra leone,eastern,kenema,torpombu
burundi,bururi,mugamba,nyagasasa
angola,malanje,cacuzo,tito
iraq,sulaymaniyah,sulaymaniyah,sulaymaniyah
yemen,sadah,haydan,al majazin
iran,khuzestan,bandar e mahshahr,bandar e emam khomeyni
sierra leone,southern,moyamba,mokobo
nigeria,delta,burutu,edegbene
turkey,mardin,nusaybin,gurun
bangladesh,dhaka,munshiganj,gazaria
syria,aleppo,jebel saman,aleppo - al-layramoun
india,maharashtra,kolhapur,hatkanangale
mali,mopti,mopti,somadougou
gambia,north bank,upper baddibu,no kunda
ivory coast,lacs,belier,tiebissou
india,jammu and kashmir,pulwama,wanpora
pakistan,khyber pakhtunkhwa,kohat,khadezai
somalia,sool,lascaanod,kalabaydh
nigeria,oyo,ori ire,alausa
central african republic,ouaka,kouango,gbagomara
sudan,south darfur,nyala,dito
kenya,kilifi,kilifi south,chonyi
pakistan,sindh,badin,talhar
democratic republic of congo,orientale,tshopo,babengongo
iraq,ninewa,telafar,bukhur
angola,bie,chitembo,mumbue
syria,aleppo,ain al arab,ashmah
south africa,kwazulu-natal,ugu,park rynie
nigeria,anambra,aguata,igbo-ukwu
syria,deir-ez-zor,deir-ez-zor,fetatish
algeria,tiaret,medrissa,medrissa
india,assam,baksa,salbari
nigeria,kano,nasarawa,yankaba
afghanistan,takhar,bangi,bangi
sierra leone,northern,bombali,tukukuray
sudan,el gazira,el kamleen,alti
ivory coast,vallee du bandama,gbeke,northern
democratic republic of congo,katanga,haut-lomami,luilu
burundi,mwaro,nyabihanga,kibenga
somalia,banaadir,mogadisho,yamarugle
india,haryana,yamunanagar,chhachhrauli
sierra leone,eastern,kono,kuandor
india,punjab,sangrur,dirba
kenya,narok,narok south,osongoroi
nigeria,cross river,etung,etara
india,tamil nadu,virudhunagar,sivakasi
indonesia,papua,lanny jaya,tiom
nepal,central,janakpur,samsi
pakistan,khyber pakhtunkhwa,lower dir,udigram
algeria,mostaganem,ain nouissy,douar el bekhaitia
uganda,kumi,bukedea,bukedea
uganda,kanungu,kinkiizi,ishasha road
pakistan,sindh,shaheed benazirabad,daur
india,jharkhand,ramgarh,barkakana
india,punjab,fazilka,malookpur
sudan,central darfur,rokoro,dalo
ivory coast,sassandra-marahoue,marahoue,koffikro
nigeria,yobe,geidam,wagiri
somalia,mudug,gaalkacyo,godod
yemen,hajjah,harad,bani al haddad
iraq,anbar,abu ghraib,qaryat abbas al irsan
ghana,greater accra,accra,teshi
india,punjab,faridkot,faridkot
south africa,kwazulu-natal,zululand,ntabankulu
algeria,skikda,ouldja boulbalout,ouldja boulballout
syria,idleb,al ma'ra,ghadqa
somalia,banaadir,mogadisho,mogadishu port
yemen,marib,sirwah,al jarf
yemen,lahij,al madaribah wa al arah,jabal al jarubah
jordan,jerash,qasabat jarash,jarash
somalia,jubbada dhexe,jilib,marraye
ethiopia,oromia,north shewa,abote
somalia,jubbada hoose,afmadow,welharey
angola,cuanza sul,sumbe,sumbe
nepal,far-western,seti,masuriya
syria,hama,as-suqaylabiyah,sarmaniya
sri lanka,central,kandy,akurana
afghanistan,urozgan,tarinkot,shah mansur
india,odisha,koraput,dandabari
pakistan,punjab,sialkot,charwa
india,tamil nadu,tirunelveli,perumanal
uganda,kampala,kampala,najanankumbi
ethiopia,oromia,borena,teltele
burundi,bubanza,bubanza,gisovu
nigeria,plateau,barkin ladi,kassa hausawa
burundi,ruyigi,butaganzwa2,titi
india,jammu and kashmir,budgam,bukhari
ethiopia,oromia,borena,el sod
india,gujarat,dahod,limdi
yemen,amran,suwayr,suwayr
ethiopia,oromia,misraq wellega,sibu sire
democratic republic of congo,nord-kivu,nord-kivu,kisegeta
palestine,west bank,ramallah,ofra
india,jammu and kashmir,bandipora,mantrigam
pakistan,punjab,sargodha,azad colony
india,karnataka,mandya,krishnarajasagara
angola,moxico,alto zambeze,sachilombo
pakistan,punjab,okara,faizabad
democratic republic of congo,bandundu,kwilu,luzi
turkey,hatay,iskenderun,kaledibi
india,tripura,north tripura,kanchanpur
nigeria,taraba,karin-lamido,kambari
india,gujarat,kachchh,bhimasar
iraq,kirkuk,kirkuk,dukshaman al kubra
pakistan,sindh,mirpurkhas,shahdadpur
syria,deir-ez-zor,al mayadin,thiban
nigeria,borno,damboa,daggu
democratic republic of congo,sud-kivu,sud-kivu,sange
kenya,marsabit,moyale,ole tipe manyatta
central african republic,vakaga,birao,tiringoulou
zimbabwe,manicaland,mutare,mukwada
sudan,equatoria,eastern equatoria,moya
india,tamil nadu,ramanathapuram,anjukottai
pakistan,punjab,khanewal,jahanian
guinea,boke,boke,konta
somalia,jubbada hoose,kismayo,yoontoy yarey
somalia,shabeellaha hoose,qoryooley,ay aarta
south sudan,unity,koch,thar wang
democratic republic of congo,orientale,ituri,marabu
sudan,north kordofan,shiekan,dankoj
afghanistan,balkh,nahri shahi,chamand-e yut
yemen,al bayda,as sawmaah,dhi maddahi
pakistan,punjab,lahore,lahore-ghoray shah
ethiopia,oromia,mirab shewa,gare
uganda,katakwi,amuria,olwa
india,jharkhand,east singhbhum,kokpara
south africa,eastern cape,buffalo city,fort jackson
saudi arabia,najran,najran,najran
nigeria,ogun,ijebu ode,ijebu-ode
angola,benguela,ganda,ganda
afghanistan,nimruz,khash rod,lukhi
nigeria,osun,ede north,edde
democratic republic of congo,sud-kivu,sud-kivu,lubango
syria,aleppo,jebel saman,salihiyah
india,madhya pradesh,hoshangabad,seoni malwa
palestine,west bank,bethlehem,efrata
syria,idleb,al ma'ra,kafraya al mara
nepal,central,narayani,devendrapur
liberia,grand cape mount,commonwealth c,sasstown
nigeria,ogun,egbado north,isuku
ethiopia,somali,fafan,gebegebo
yemen,hadramawt,al abr,al hudhi
ghana,brong ahafo,asutifi,kenyase
yemen,sadah,monabbih,shawdhan
somalia,bakool,xudur,dina
yemen,abyan,khanfir,al hisn
angola,benguela,lobito,gama
central african republic,ouaka,bambari,maleho
syria,idleb,idleb,saraqab
pakistan,fata,khyber agency,nari baba
egypt,north sinai,rafah,yamit
nigeria,borno,magumeri,titiwa
central african republic,ouham,nana-bakassa,kiriwiri
egypt,giza,waraq,awsim
kenya,kiambu,githunguri,gathugu
bangladesh,chittagong,chittagong,bara uthan
sudan,east darfur,adila,labado
syria,aleppo,jebel saman,aleppo - al-sabeel
kenya,tana river,garsen,bubisa
india,west bengal,south 24 parganas,kala hazra
libya,al hizam al akhdar,benghazi,tabalino
yemen,al jawf,al maton,wadi sadhba
pakistan,khyber pakhtunkhwa,upper dir,wari
egypt,giza,ayat,al ayyat
afghanistan,nangarhar,achin,saperi
ghana,eastern,atiwa,kwabeng
liberia,montserrado,greater monrovia,new georgia
uganda,kasese,busongora,rwenzori mountains
india,jammu and kashmir,budgam,doniwari
yemen,shabwah,jardan,iyadh
ivory coast,montagnes,guemon,semien
pakistan,fata,khyber agency,sandana
syria,hama,hama,atshana
nepal,central,narayani,jeetpur
palestine,west bank,hebron,yuta
kenya,nyeri,mukurweini,tambaya
algeria,tizi ouzou,ain-el-hammam,azerou kellat
nigeria,taraba,gassol,wuro jam
sri lanka,eastern,trincomalee,trincomalee
south africa,eastern cape,cacadu,willowmore
india,jammu and kashmir,baramulla,tarzoo
sri lanka,southern,galle,labuduwa
uganda,kitgum,chua,odomuyere
india,himachal pradesh,kangra,arla
democratic republic of congo,orientale,ituri,lodjo
nigeria,kano,fagge,fagge
burundi,bujumbura rural,mugongomanga,rwibaga
sierra leone,western,western urban,lumley
yemen,taizz,maqbanah,at tuwayr
guinea,kankan,mandiana,balandougouba
democratic republic of congo,orientale,ituri,bula
guinea,faranah,faranah,woldou
india,assam,lakhimpur,hatilung
india,tamil nadu,virudhunagar,sattur
egypt,south sinai,dahab,raw al nakhl
somalia,bakool,xudur,war galoole
somalia,shabeellaha hoose,afgooye,buulalow
algeria,boumerdes,ammal,ait dahmane
cameroon,extreme-nord,mayo-sava,bonderi
pakistan,punjab,attock,hassan abdal
uganda,kapchorwa,kongasis,riwo
yemen,shabwah,ain,taraf as saq
algeria,alger,dar el beida,bordj el kiffan
syria,aleppo,a'zaz,aghtrin
afghanistan,baghlan,dushi,dushi
sierra leone,eastern,kono,samie
palestine,west bank,jenin,misliyah
rwanda,umujyi wa kigali,kicukiro,kanombe
sudan,central darfur,zalingei,jawiri
india,maharashtra,nashik,talegaon
liberia,nimba,leewehpea-mahn,gbapa
central african republic,ouaka,bambari,gbotto-bgandjia
egypt,menia,al minya,hur
afghanistan,sar-e pol,sangcharak,tukzar
kenya,kisii,nyaribari masaba,nyaribari
somalia,shabeellaha hoose,marka,ceel-jaale
south africa,mpumalanga,ehlanzeni,mbombela
democratic republic of congo,bandundu,kwango,ndunda
zimbabwe,matabeleland south,insiza,filabusi
burundi,cankuzo,gisagara,rabiro
south sudan,lakes,rumbek east,mabui
sierra leone,northern,koinadugu,kumba wullen balia
uganda,arua,terego,omugo
south africa,western cape,city of cape town,lavender hill
mali,tombouctou,tombouctou,ber
syria,al-hasakeh,al-hasakeh,al hulw
pakistan,fata,khyber agency,malagori
morocco,marrakech - tensift - al haouz,chichaoua,chichaoua
democratic republic of congo,orientale,haut-uele,sukadi
turkey,sirnak,beytussebap,beytussebap
yemen,marib,mahliyah,qabil qaniyah
pakistan,sindh,sanghar,haji budho
tanzania,kilimanjaro,same,same
kenya,nairobi,westlands,kangemi
iran,tehran,tehran,tehran-district 16
bangladesh,dhaka,gazipur,atabaha
south sudan,jonglei,fangak,tanyir
kenya,nyeri,mukurweini,gatura
bangladesh,rajshahi,natore,naldanga paurashava
democratic republic of congo,orientale,ituri,mambasa
nigeria,borno,konduga,malabi
sri lanka,northern,jaffna,neduntheevu
syria,aleppo,jebel saman,kafr dael
sudan,central darfur,mukjar,saraf el saada
sierra leone,southern,pujehun,zimmi
central african republic,mbomou,bakouma,fode
sierra leone,northern,port loko,magbenthen
sudan,south darfur,nyala,dreib al rieh
afghanistan,faryab,kohistan,lash
pakistan,balochistan,qila saifullah,ali khel
india,uttar pradesh,ghaziabad,ghaziabad
rwanda,iburengerazuba,rutsiro,rutsiro
united arab emirates,dubai,dubai,dubai-al quoz
algeria,saida,ain el hadjar,ain el hadjar
india,maharashtra,kolhapur,panhala
syria,hama,muhradah,jalma
angola,benguela,benguela,rio uchi
india,jammu and kashmir,rajouri,datote
syria,idleb,al ma'ra,istablat
yemen,hajjah,bakil al mir,fas
india,tamil nadu,tiruvallur,avadi
india,uttarakhand,udham singh nagar,sitarganj
mali,segou,macina,boky were
india,tamil nadu,coimbatore,padma nagar
mali,tombouctou,dire,dire
south africa,gauteng,city of tshwane,hatfield
india,maharashtra,thane,thane
benin,plateau,ketou,adakplame
angola,cuando cubango,rivungo,jamba
yemen,sadah,baqim,mandabah
india,tamil nadu,nagapattinam,vedaranyam
south sudan,eastern equatoria,kapoeta north,riwoto
angola,huambo,bailundo,candande
somalia,gedo,garbahaarey,dhasheeg
iran,hamadan,nahavand,nahavand
burundi,bujumbura rural,mukike,mukike
india,tamil nadu,vellore,adukkamparai
central african republic,nana-mambere,baoro,gazi
pakistan,sindh,nawabshah,daulatpur
nepal,far-western,mahakali,alital
afghanistan,kunduz,khan abad,talwak
democratic republic of congo,kasai-occidental,kasai,lunyeka
nigeria,taraba,wukari,gishiri river
burundi,makamba,kayogoro,sampeke
burkina faso,sahel,soum,taouremba
egypt,menia,dir mawas,nazlat al badraman
south africa,eastern cape,amathole,amathole
burundi,karuzi,gitaramuka,gitaramuka
kenya,busia,teso south,ochude
iraq,sala al-din,shirqat,al khanukiyah
sierra leone,eastern,kailahun,penguia
sudan,south darfur,nyala,safia
angola,huambo,londuimbale,ussoque
sudan,river nile,el matammah,el matamma
somalia,gedo,dolow,bula hawa
nigeria,abia,obi nwa,abala
india,punjab,bathinda,kangar
kuwait,al asimah,,kuwait city
palestine,west bank,al khalil,khirbat nasara
cameroon,extreme-nord,mayo-sava,kossa
sierra leone,eastern,kailahun,kangama
namibia,kavango,rundu rural east,mangarangandja
nigeria,borno,nganzai,kuda
syria,aleppo,jebel saman,tal bajer
india,west bengal,howrah,amta
india,maharashtra,palghar,palghar
sierra leone,northern,koinadugu,koromandor
kenya,garissa,garissa township,damajale
south africa,kwazulu-natal,umkhanyakude,jozini
pakistan,balochistan,dera bugti,matli
egypt,luxor,luxor,tawd
angola,uige,uige,quiosso
sudan,west darfur,el geneina,jabal madjugulu
syria,rural damascus,al qutayfah,jirud
kenya,isiolo,isiolo south,tukomo
ivory coast,montagnes,guemon,mont peko
central african republic,ouham pende,paoua,paoua
india,chhattisgarh,narayanpur,khairabhat
syria,ar-raqqa,ar-raqqa,fteih
algeria,bejaia,souk el tenine,souk el tenine
burundi,gitega,nyanrusange,gatwaro
pakistan,sindh,thatta,jungshahi
tunisia,mahdia,el jem,el jem
democratic republic of congo,nord-kivu,nord-kivu,bushendo
india,assam,barpeta,barpeta
nepal,west,gandaki,sundarbazar
uganda,busia,samia-bugwe,busitema
bangladesh,dhaka,faridpur,sadarpur
syria,quneitra,quneitra,sindiyanah
pakistan,punjab,lahore,lahore-iqbal town
afghanistan,kunduz,khan abad,janat bagh
central african republic,haute-kotto,yalinga,yalinga
india,tamil nadu,ramanathapuram,ramanathapuram
india,kerala,malappuram,pandikkad
yemen,taizz,dhubab,al kadhah
south africa,western cape,city of cape town,delft
india,jammu and kashmir,poonch,balakote
nepal,far west,seti,ghodaghodi
afghanistan,zabul,arghandab,tanur
laos,bolikhamxai,khamkeut,khamkeut
democratic republic of congo,sud-kivu,sud-kivu,muzimu
uganda,kotido,jie,moru apolon
nigeria,adamawa,madagali,nyibango
burundi,ruyigi,ruyigi,rusengo
zambia,luapula,mwense,kawama
india,himachal pradesh,kullu,dhalpur
nigeria,anambra,oyi,ogbunike
sudan,north darfur,tawilla,dobo umda
india,karnataka,kodagu,napoklu
yemen,hajjah,bakil al mir,al atn
south africa,eastern cape,buffalo city,gonubie
afghanistan,nangarhar,achin,nargosay
palestine,gaza strip,khan yunis,al qararah
burundi,ruyigi,nyabitsinda,bihembe
india,jammu and kashmir,samba,samba
burundi,gitega,makebuko,simba
sudan,south kordofan,reif ashargi,farshaya
india,jammu and kashmir,baramulla,magam
somalia,galguduud,ceel dheer,masagaway
madagascar,fianarantsoa,atsimo-atsinana,antsiranana
syria,hama,as-salamiyeh,sanida
tunisia,tataouine,tataouine nord,ksar ouled soltane
sudan,south darfur,kass,gulobei
rwanda,iburengerazuba,rubavu,colline rukoko
democratic republic of congo,nord-kivu,nord-kivu,lukweti
vietnam,quang nam,nui thanh,tam son
somalia,hiiraan,bulo burto,quracley
south africa,western cape,eden,uniondale
syria,idleb,idleb,tal tuqan
yemen,ibb,al makhadir,shanin
egypt,menia,abu qurqas,abu qurqas
sudan,kordofan,south kordofan,muglad
kenya,kisii,south mugirango,nyamarambe
syria,idleb,al ma'ra,tal aas
india,haryana,mahendragarh,bhungarka
kenya,laikipia,laikipia north,umande
india,tamil nadu,pudukkottai,keeranur
burundi,muyinga,mwakiro,musenga
burundi,bururi,burambi,gishiha
yemen,sadah,haydan,dhuwayb as sufla
kenya,homa bay,suba,sindo
iran,east azarbaijan,maragheh,maragheh
sri lanka,northern,mullaitivu,mullaitivu
syria,rural damascus,duma,bala
democratic republic of congo,equateur,gbadolite,gbadolite
somalia,banaadir,mogadisho,daniel
syria,aleppo,jebel saman,aleppo - al-ghazali
ethiopia,somali,nogob,fik
nigeria,adamawa,mubi north,mubi
pakistan,sindh,larkana,badah
yemen,sanaa,nihm,dabuah
libya,ajdabiya,al wahat,bishr
libya,an nuqat al khams,an nuqat al khams,al assah
india,telangana,warangal,kummaragudem
tanzania,morogoro,kilosa,mbuyuni
saudi arabia,jizan,al aridah,ahl sala
uganda,kitgum,lamwo,adodi
afghanistan,helmand,nahri saraj,haidarabad
ghana,upper east,bolgatanga,bukere
south africa,kwazulu-natal,zululand,ulundi
somalia,woqooyi galbeed,gabiley,ceel-bardaale
india,odisha,kendrapara,garadapur
uganda,moyo,west moyo,dufile
turkey,diyarbakir,bismil,bismil
india,rajasthan,sikar,neem ka thana
nigeria,borno,askira/uba,ribadu
angola,huambo,mungo,mungo
tunisia,mahdia,chebba,chebba
india,punjab,bathinda,bathinda
somalia,sool,taleex,taleex
south africa,kwazulu-natal,ethekwini,lindelani
tunisia,gabes,mareth,mareth
yemen,sadah,ghamr,al amir
syria,ar-raqqa,ar-raqqa,rabee'a
pakistan,sindh,karachi city,karachi-liaquatabad
uganda,wakiso,jinja,kajjansi
kenya,kwale,lungalunga,godoma
saudi arabia,jizan,al harth,jabal juhfan
syria,dar'a,dar'a,maaraba
india,odisha,koraput,boipariguda
south africa,gauteng,city of tshwane,salvokop
sudan,central darfur,zallingi,mara
palestine,west bank,al quds,al quds-mount scopus
south sudan,jonglei,duk,deng
pakistan,sindh,karachi city,gulberg neighbourhood
guinea,nzerekore,gueckedou,tanangue zezou
south africa,mpumalanga,ehlanzeni,oshoek
pakistan,punjab,attock,jand
india,gujarat,ahmedabad,naroda
democratic republic of congo,nord-kivu,nord-kivu,kanzoka
sierra leone,northern,port loko,kaffu bullom
sierra leone,northern,port loko,burreh kasseh makonte
democratic republic of congo,orientale,ituri,bavi
democratic republic of congo,equateur,tshuapa,yangendji
afghanistan,farah,pusht rod,pusht rod
palestine,gaza strip,deir al balah,al burayj
india,jammu and kashmir,budgam,narbal
india,maharashtra,gadchiroli,surjagarh
iraq,thi-qar,suq al-shoyokh,suq al-shoyokh
turkey,artvin,borcka,borcka
algeria,guelma,oued zenati,oued zenati
syria,aleppo,afrin,lower kafardali
nigeria,oyo,ibarapa east,lalate
yemen,al jawf,bart al anan,al hayjah
syria,as-sweida,salkhad,qarayya
india,west bengal,south 24 parganas,alipore
syria,deir-ez-zor,abu kamal,kishkiyeh
lebanon,bekaa,bekaa al-gharbi,wadi el khaled
bangladesh,chittagong,noakhali,begumganj
yemen,sadah,baqim,al uslan
south africa,kwazulu-natal,ugu,victoria
egypt,north sinai,rafah,al mahdiyah
algeria,tizi ouzou,imsouhal,illoula oumalou
central african republic,vakaga,birao,birao
uganda,rakai,kooki,kiziba
india,punjab,ferozepur,mahian wala kalan
india,odisha,malkangiri,chitarkonda
central african republic,lobaye,mbaiki,dede
india,uttar pradesh,allahabad,mau aima
ethiopia,oromia,bale,dumal valley
ivory coast,lagunes,grands ponts,dabou
democratic republic of congo,equateur,nord-ubangi,businga
angola,huambo,ukuma,calema
sudan,white nile,kosti,al wusa
sri lanka,north western,kurunegala,kahatagaha graphite mines
india,maharashtra,pune,koregaon bhima
sudan,gedaref,basonda,wad al balulah
sierra leone,eastern,kono,njaiama sewafe
somalia,bay,baydhabo,el gadud
syria,aleppo,jarablus,jat
burundi,bujumbura rural,muhuta,muhuta
south africa,north west,ngaka modiri molema,sanniehof
turkey,van,gevas,gevas
algeria,chlef,sidi akkacha,douar bencheloua
south africa,eastern cape,alfred nzo,mt. ayliff
ethiopia,oromia,mirab welega,mendi
south africa,gauteng,city of johannesburg,dobsonville
south africa,limpopo,sekhukhune,atok
india,punjab,moga,dharamkot
somalia,bakool,xudur,ciyow koyow
egypt,menia,mallawi,mallawi
cambodia,prey kabbas,prey kabbas,prey kabbas
bangladesh,dhaka,dhaka,ward no-17 (part)
burundi,bujumbura mairie,roherero,muha
turkey,mus,mus,kizilagac
tunisia,tunis,carthage,carthage
sudan,upper nile,jungoli,akobo
nigeria,yobe,gujba,gujba
syria,aleppo,jebel saman,judaydah
nepal,west,lumbini,khajuriya
south africa,gauteng,city of tshwane,elarduspark
angola,benguela,caiambambo,caimbambo
yemen,amran,al qaflah,al qaflah
syria,aleppo,menbij,jamiliyah
kenya,muranga,kiharu,mathioya
south sudan,western equatoria,mundri east,kediba
pakistan,balochistan,dera bugti,uch
kenya,baringo,baringo central,kabarnet
burundi,kayanza,kayanza,nyamugosa
india,rajasthan,sikar,patan
mozambique,sofala,gorongosa,casa banana
ethiopia,oromia,oromia-finfinne,fiche
burundi,bururi,rumonge,minago
madagascar,toliary,anosy,betroka
iraq,kirkuk,daquq,qaryat albu sibah
south africa,northern cape,frances baard,warrenton
yemen,abyan,lawdar,jahhayn
senegal,kolda,velingara,pakour
burundi,bujumbura mairie,ngagara,ngagara
burundi,makamba,kibago,jimbi
yemen,sadah,qatabir,wadi al batnah
democratic republic of congo,nord-kivu,nord-kivu,nyabiondo
india,bihar,vaishali,hazrat jandaha
kenya,narok,kilgoris,enoosaen
south africa,limpopo,mopani,mogapeng
ethiopia,oromia,kelem wellega,gombo
pakistan,fata,north waziristan agency,karwanda
syria,deir-ez-zor,al mayadin,abu hardoub
sri lanka,western,colombo,salawa
somalia,mudug,gaalkacyo,laanqoodaar
pakistan,sindh,karachi city,karachi-manghopir
india,karnataka,bagalkot,mahalingapur
ethiopia,oromia,misraq shewa,sadeh hareri
nigeria,ondo,odigbo,odigbo
syria,idleb,jisr-ash-shugur,mazuleh
india,uttar pradesh,etah,etah
angola,malanje,mucari,caculuma
kenya,kisumu,tamu,songhor
india,west bengal,nadia,pipulbaria
yemen,sadah,baqim,al al hamaqi
iraq,diyala,balad ruz,mandali
yemen,al mahwit,hufash,as safaqayn
algeria,bejaia,amalou,bouhamza
tunisia,tunis,bab el bhar,cite el khadra
somalia,jubbada hoose,kismayo,golasha matrooba
somalia,gedo,ceel waaq,gedo
pakistan,punjab,sialkot,pasrur
egypt,suhag,tahta,tahta
pakistan,balochistan,nasirabad,uraz mohammad
india,west bengal,murshidabad,raghunathganj
kenya,bungoma,kabuchai,chekulo
syria,al-hasakeh,al-hasakeh,shadadah
central african republic,ouaka,bambari,damissa
south africa,limpopo,sekhukhune,tubatse
democratic republic of congo,nord-kivu,nord-kivu,inkokwe
yemen,al bayda,al quraishyah,baqarat
democratic republic of congo,kinshasa,kinshasa,ndjili airport
iraq,ninewa,mosul,khawaja khalil
india,andhra pradesh,kurnool,gonegandla
nigeria,kogi,okehi,okaitu
central african republic,ouham,bossangoa,bogouna
syria,damascus,damascus,damascus - qanawat
democratic republic of congo,sud-kivu,sud-kivu,kabondola
india,puducherry,puducherry,madagadipet
democratic republic of congo,sud-kivu,sud-kivu,kabamba
kenya,baringo,tiaty,chemolingot
central african republic,bangui,bangui,petevo
cameroon,extreme-nord,diamare,maroua
libya,darnah,darnah,al-sahil al-sharqiyah
pakistan,punjab,mianwali,tolla bangi khel
syria,idleb,al ma'ra,mir'aya
pakistan,khyber pakhtunkhwa,karak,sarat khel
somalia,sool,caynabo,widhiidh
india,tamil nadu,tiruvannamalai,tiruvannamalai
pakistan,khyber pakhtunkhwa,lower dir,chakdarra
syria,aleppo,a'zaz,yazi bagh
sudan,south kordofan,kadugli,hagar inba
turkey,kilis,kilis,sih mehmet
turkey,bolu,bolu,bolu
nigeria,ondo,akoko north west,onyin akoko
south sudan,unity,pariang,alir
sri lanka,eastern,ampara,akkaraipattuwa
burundi,cankuzo,mishiha,kibimba
syria,hama,hama,masaada
ethiopia,oromia,arsi,buur
india,jammu and kashmir,bandipora,sumbal
indonesia,papua,jayapura,jayapura
south africa,western cape,west coast,citrusdal
yemen,al hudaydah,kamaran,kamaran
burundi,cankuzo,cendajuru,cendajuru
liberia,rivercess,norwein,yapa
algeria,jijel,selma benziada,selma pass
palestine,west bank,bethlehem,bayt fajjar
angola,cunene,namakunde,chiede
palestine,west bank,ramallah,al mazraah ash sharqiya
india,jammu and kashmir,kulgam,bhatipora
nigeria,benue,oturkpo,aukpa
india,maharashtra,pune,khadki
yemen,aden,al mansura,al mansurah
yemen,sadah,saqayn,saqayn
nigeria,benue,tarka,wannune
pakistan,fata,kurram agency,banda
egypt,behera,hush isa,hawsh isa
tunisia,monastir,moknine,ksar hellal
syria,aleppo,afrin,atman
egypt,north sinai,bir al abd,mazar
democratic republic of congo,orientale,ituri,bururu
chad,wadi fira,kobe,iriba
syria,aleppo,jebel saman,barqum
pakistan,khyber pakhtunkhwa,buner,chinar
nepal,east,sagarmatha,tilathi
sudan,south kordofan,reif ashargi,jabal duomo
ivory coast,lagunes,la me,memni
nigeria,kogi,ofu,ejule
ethiopia,oromia,mirab hararghe,cuni
india,jammu and kashmir,pulwama,awantipora
nigeria,cross river,yakurr,ekuri
iraq,anbar,hit,uklat khabbazah
democratic republic of congo,kasai-oriental,kabinda,kileta
algeria,jijel,ziama mansouria,ziama mansouriah
pakistan,sindh,karachi city,karachi-gadap
burundi,gitega,giheta,giheta
south sudan,unity,mayendit,padeng
uganda,nakasongola,buruli,nakitoma
somalia,shabeellaha hoose,marka,xinka oommane
iraq,kirkuk,haweeja,sayyidiyah
egypt,kalyoubia,toukh,kafr al jamal
syria,rural damascus,az-zabdani,hseiniyeh
angola,lunda sul,cacolo,cucumbi
egypt,kafr el-shikh,sidi salim,sidi salem
burundi,gitega,mutaho,muririmbo
india,punjab,ferozepur,rukan shah wala
uganda,kasese,busongora,muvamba
libya,al hizam al akhdar,benghazi,al kuwayfyah
algeria,sidi bel abbes,benaicha chelia,tenezara
burundi,bujumbura rural,mukike,gitsiro
syria,ar-raqqa,tell abiad,abu haya
sudan,west darfur,zallingi,nabagaya
nigeria,taraba,donga,butu
south africa,eastern cape,nelson mandela bay,missionvale
bangladesh,khulna,jessore,putkhali
south africa,eastern cape,cacadu,paterson
india,tamil nadu,tirunelveli,kalakkad
uganda,gulu,omoro,opit
nepal,central,bagmati,chalnakhel
south africa,kwazulu-natal,ethekwini,umhlanga rocks
algeria,ouargla,hassi messaoud,zemlet el hadj messaoud
sudan,north kordofan,bara,abu shawk
kenya,kiambu,kiambu,kikuyu township
india,kerala,kannur,kadirur
nigeria,rivers,degema,abonnema
india,jammu and kashmir,shopian,heff
syria,aleppo,as-safira,khirbat hawish
mozambique,tete,tsangano,monequera
south sudan,jonglei,uror,fatitet
tanzania,shinyanga,kahama township authority,kagongwa police post
sudan,central darfur,wadi salih,jabal konjo
syria,homs,tadmor,jabal sha'er
algeria,boumerdes,ammal,bouaidel
afghanistan,paktika,ziruk,ziruk
kenya,meru,north imenti,meru
yemen,amran,iyal surayh,al warik
libya,darnah,darnah,wadi al-naqah
india,uttar pradesh,allahabad,phulpur
syria,deir-ez-zor,deir-ez-zor,abul nitel
algeria,tizi ouzou,boudjellil,boudjellil
ethiopia,oromia,north shewa,gundo meskel
ghana,volta,hohoe,hohoe
mali,kidal,kidal,anefis
burkina faso,centre-est,boulgou,tenkodogo
india,kerala,kannur,peravoor
sudan,central darfur,rokoro,lugo
turkey,kilis,kilis,kilis
madagascar,fianarantsoa,atsimo-atsinana,tsaratanana
ivory coast,zanzan,bounkani,koutouba
cameroon,extreme-nord,diamare,pitoa
india,punjab,tarn taran,lalu ghuman
sudan,central darfur,zallingi,koron
sudan,white nile,el douiem,bakht ar ruda
